"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type"
"King 1997","ES426","CC151","Ohio and Ontario Mainlands","Pelee","Reptiles","Squamata","Colubridae","Storeria dekayi","Storeria dekayi","Storeria dekayi","Carnivorous","Both","SVL",5.77161972732033,5.039483447686,2.57306181195999,1.32561149069759,43,48,-0.135649170141385,0.00606358572568396,-82.656,41.777,0.761297709156231,1.61182947949837,1.32016706525423,0.277822705078125,-1.2817043358803,9.99574756622314,2.97783999829059,2.95361474758966,"Conspecific","No island rule"
"King 1997","ES427","CC151","Ohio and Ontario Mainlands","Rattlesnake island","Reptiles","Squamata","Colubridae","Storeria dekayi","Storeria dekayi","Storeria dekayi","Carnivorous","Both","SVL",5.77161972732033,5.94143452130247,2.57306181195999,1.56286531237291,43,30,0.0289978496867817,0.00692849486614884,-82.8494,41.6794,0.761297709156231,-0.468521082957745,1.01707509637606,0.223713354492188,-1.26651889161272,10.0063180923462,2.9836127167514,2.9467714938316,"Conspecific","No island rule"
"Du et al 2006, Du et al. 2005","ES428","CC152","Mainland China","Beiji","Reptiles","Squamata","Lacertidae","Takydromus septentrionalis","Takydromus septentrionalis","Takydromus septentrionalis","Carnivorous","Female","SVL",7.09229380276738,7.42496567526107,0.390548528863142,0.410825566879208,190,49,0.0458392471135776,7.8438042437313e-05,121.204,27.627,0.850786718225794,0.301029995663981,1.63347855533382,0.118270141601563,-1.29312034020728,17.3284854888916,2.85823743759991,3.19067020891922,"Conspecific","No island rule"
"Du et al 2006, Du et al. 2005","ES429","CC152","Mainland China","Dongtou","Reptiles","Squamata","Lacertidae","Takydromus septentrionalis","Takydromus septentrionalis","Takydromus septentrionalis","Carnivorous","Female","SVL",7.09229380276738,6.43637345880368,0.390548528863142,0.262051217825555,190,27,-0.097043560718582,7.73536640243476e-05,121.128,27.832,0.850786718225794,1.45788189673399,1.30105170984523,0.290682006835938,-1.90198643630445,17.4001235961914,2.8665069509602,3.19238622039486,"Conspecific","No island rule"
"Zuffi et al. 2011, Lo Cascio et al 2008","ES430","CC153","Italy","Conigli","Reptiles","Squamata","Phyllodactylidae","Tarentola mauritanica","Tarentola mauritanica","Tarentola mauritanica","Carnivorous","Both","SVL",8.31468656248321,4.04395211687572,0.936802466429499,0.172744548163784,111,20,-0.720800955949494,0.000205597981922398,12.5588,35.5098,0.919845882328881,-1.35654732351381,2.11394669302077,0.316665649414062,-1.68387454451099,19.1458415985107,2.6923039075568,2.50487844283284,"Conspecific","No island rule"
"Zuffi et al. 2011, Lo Cascio et al 2008","ES431","CC153","Italy","Lampedusa","Reptiles","Squamata","Phyllodactylidae","Tarentola mauritanica","Tarentola mauritanica","Tarentola mauritanica","Carnivorous","Both","SVL",8.31468656248321,2.8508715782482,0.936802466429499,0.237494018970492,111,28,-1.07039865204515,0.000362213649388261,12.5731,35.5156,0.919845882328881,1.30535136944662,2.1043197801057,0.316665649414062,-1.68387454451099,19.1458415985107,2.6923039075568,2.50487844283284,"Conspecific","No island rule"
"Dodd 1997, Whitehead 2017","ES432","CC154","USA","Egmont Key","Reptiles","Testudines","Emydidae","Terrapene carolina","Terrapene carolina carolina","Terrapene carolina bauri","Omnivorous","Both","Weight",351.732621359223,437.271513002364,119.051518486097,103.083293278839,103,846,0.217683024834161,0.00117795334795076,-82.7615,27.593,2.54621264872443,0.255272505103306,1.04143216468027,0.385458154296875,-1.5661445507869,22.8615341186523,2.65784098872662,3.10822665637493,"Conspecific","No island rule"
"Verdon et al 2005, Whitehead 2017","ES433","CC155","USA","Big Pine Key","Reptiles","Testudines","Emydidae","Terrapene carolina","Terrapene carolina carolina","Terrapene carolina bauri","Omnivorous","Both","Weight",351.732621359223,608.125277777778,119.051518486097,100.339278827465,103,72,0.547509621171852,0.00149037716481838,-81.328,24.68,2.54621264872443,1.40312052117582,1.72428406375899,0.4028765625,-1.84415455329784,24.9871368408203,2.46516265852609,3.03578583957124,"Conspecific","No island rule"
"Bertolero et al. 2007","ES434","CC156","France","Corsica","Reptiles","Testudines","Testudinidae","Testudo hermanni","Testudo hermanni","Testudo hermanni","Herbivorous","Female","Weight",893,1048,206.456,239.023,74,27,0.160052284004488,0.00264891125566049,9.12,42.1,2.95085145888855,3.93856975622106,1.90417978339357,0.627191943359375,-1.92281432857012,12.0827579498291,2.78330610180206,2.90464717566751,"Conspecific","Island rule"
"Stubbs and Swingland 1985, Joubert and Cheylan 1989","ES435","CC157","France","Corsica","Reptiles","Testudines","Testudinidae","Testudo hermanni","Testudo hermanni","Testudo hermanni","Herbivorous","Both","SCL",548.036596075904,666.383551924194,47.325931006464,84.7681537039892,295,170,0.195523342682862,0.000120463728037129,9.12,42.1,2.73880956020546,3.93856975622106,1.90417978339357,0.627191943359375,-1.92281432857012,12.0827579498291,2.78330610180206,2.90464717566751,"Conspecific","No island rule"
"Bertolero 2015","ES436","CC158","Spain","Menorca","Reptiles","Testudines","Testudinidae","Testudo hermanni","Testudo hermanni","Testudo hermanni","Herbivorous","Both","Weight",636.025974025974,651.084745762712,230.137257348484,209.194228143361,77,354,0.0234004093893912,0.00199195340493793,4.11,39.962,2.80347485172674,2.83821922190763,2.41162138927191,0.5869310546875,-1.92377209741175,16.5330104827881,2.73116222705598,2.76257352928412,"Conspecific","No island rule"
"Giacalone et al 2008, Berardo 2015","ES437","CC159","Italy","Sicily","Reptiles","Testudines","Testudinidae","Testudo hermanni","Testudo hermanni","Testudo hermanni","Herbivorous","Both","Weight",319.879,489.058333333333,166.669485416737,274.13862119205,51,48,0.424538974143981,0.0118692010494299,14.275,37.481,2.50498572966372,4.40585839931764,0.491501766237326,0.48783291015625,-1.7491542292963,15.4296607971191,2.76987076537853,2.70918266471766,"Conspecific","No island rule"
"Ljubisavljevic et al 2012","ES438","CC160","Montenegro","Mali Starcevo","Reptiles","Testudines","Testudinidae","Testudo hermanni","Testudo hermanni","Testudo hermanni","Herbivorous","Both","Weight",956.761379310345,650.563125,122.173512070338,152.590186871841,29,16,-0.385715683966228,0.00400065880618093,19.211,42.188,2.98080363623994,-1.04575749056068,-0.404503778174426,0.423926513671875,-1.70682131489205,14.065806388855,2.84066939071373,3.17626493504838,"Conspecific","No island rule"
"Corti and Zuffi 2003, Carbone 1988","ES439","CC161","Tuscany, Italy","Asinara","Reptiles","Testudines","Testudinidae","Testudo hermanni","Testudo hermanni","Testudo hermanni hermanni","Herbivorous","Both","SCL",440.331415503871,621.120748196286,38.5167455622114,54.5805589994136,166,148,0.343997844131129,9.82676218313402e-05,8.32,41.08,2.64377967136292,1.7160033436348,2.43297089343411,0.57816025390625,-1.64239257676127,16.3976707458496,2.70274419724476,2.69418385092386,"Conspecific","No island rule"
"King 1989","ES440","CC162","Ohio","East Sister Island","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,113.036541073154,7.90007588551226,19.3119054520015,97,5,0.431165287559398,0.00595698765934522,-82.856,41.813,1.86596615442402,-0.585026652029182,1.46983673757549,0.0275810424804688,-1.23175394917561,10.0299119949341,2.97743821001743,2.95686928002837,"Conspecific","No island rule"
"King 1989","ES441","CC162","Ohio","Kelleys Island ","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,148.179373167528,7.90007588551226,21.6927883650755,97,7,0.701877669561697,0.00318093926235984,-82.7,41.602,1.86596615442402,1.06781451116184,0.699056854547668,0.201251379394531,-1.26968668244387,10.1200485229492,2.97527009831895,2.94877961373782,"Conspecific","No island rule"
"King 1989","ES442","CC162","Ohio","Middle Bass Island","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,81.7670842539173,7.90007588551226,6.76450316511977,97,52,0.107328918434847,0.00025089432233542,-82.811,41.684,1.86596615442402,0.477121254719662,1.06822297934645,0.223713354492188,-1.26651889161272,10.0063180923462,2.9836127167514,2.9467714938316,"Conspecific","No island rule"
"King 1989","ES443","CC162","Ohio","Middle Island ","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,168.39363403111,7.90007588551226,11.3932728935859,97,123,0.829758447219893,0.000156494417955064,-82.683,41.682,1.86596615442402,-0.677780705266081,1.23047446736116,0.201251379394531,-1.26968668244387,10.1200485229492,2.97527009831895,2.94877961373782,"Conspecific","No island rule"
"King 1989","ES444","CC162","Ohio","North Bass Island","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,76.1280046349651,7.90007588551226,7.85775449292818,97,44,0.0358703437962093,0.000361411244893603,-82.817,41.716,1.86596615442402,0.450249108319361,1.19868457307714,0.161128356933594,-1.21514733993359,10.0172605514526,2.98106569127753,2.95077849108473,"Conspecific","No island rule"
"King 1989","ES445","CC162","Ohio","Pelee","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,95.9012919605715,7.90007588551226,5.79519984023557,97,81,0.266773602546377,0.000164359458968889,-82.656,41.777,1.86596615442402,1.61182947949837,1.32016706525423,0.277822705078125,-1.2817043358803,9.99574756622314,2.97783999829059,2.95361474758966,"Conspecific","No island rule"
"King 1989","ES446","CC162","Ohio","West Sister Island","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,158.618616123818,7.90007588551226,10.7597706232307,97,45,0.769956828934208,0.000221532639819045,-83.105,41.739,1.86596615442402,-0.552841968657781,1.13357084061404,0.0458570404052734,-1.13464491211767,10.0754079818726,2.97879899650425,2.9368403580754,"Conspecific","No island rule"
"Krause et al. 2003, King 1989","ES447","CC163","Ohio","Beaver","Reptiles","Squamata","Natricidae","Thamnophis sirtalis","Thamnophis sirtalis","Thamnophis sirtalis","Carnivorous","Both","SVL",73.4456628018701,64.4860332930547,7.90007588551226,7.71213857620158,97,346,-0.130097188946383,0.000160614798805688,-85.5518,45.6379,1.86596615442402,2.16136800223497,1.38562414543148,0.49304775390625,-1.49901579234406,6.02278470993042,2.98531212432196,2.89219480885463,"Conspecific","No island rule"
"Sarre and Dearn 1991","ES448","CC164","Tumby Bay, Australia","Duffield","Reptiles","Squamata","Scincidae","Tiliqua rugosa","Tiliqua rugosa","Tiliqua rugosa","Herbivorous","Male","SVL",546.07682049067,678.85593329068,29.943947915664,34.9895935394825,10,17,0.217649267499412,0.000456953506658605,136.319955,-34.65481,2.73725374228056,-1.04575749056068,1.38113313831705,0.41536533203125,-1.50048692691533,16.4848957061768,2.47027132814968,2.57939484759077,"Conspecific","No island rule"
"Sarre and Dearn 1991","ES449","CC165","Tumby Bay","Reevesby","Reptiles","Squamata","Scincidae","Tiliqua rugosa","Tiliqua rugosa","Tiliqua rugosa","Herbivorous","Male","SVL",546.07682049067,590.066080952881,29.943947915664,28.5138994608449,10,21,0.0774748695257173,0.000411881104979869,136.059,-34.965,2.73725374228056,0.53655844257153,0.672190251188253,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,"Conspecific","No island rule"
"Sarre and Dearn 1991","ES450","CC165","Tumby Bay","Saint Peter","Reptiles","Squamata","Scincidae","Tiliqua rugosa","Tiliqua rugosa","Tiliqua rugosa","Herbivorous","Male","SVL",546.07682049067,715.81523101599,29.943947915664,39.9599016125278,10,3,0.270662413700521,0.00133946927934952,133.587106,-32.280964,2.73725374228056,1.53516748511494,0.699056854547668,0.373558203125,-1.76825334650395,16.8076362609863,2.51759622234833,2.45788189673399,"Conspecific","No island rule"
"Sarre and Dearn 1991","ES451","CC165","Tumby Bay","Spilsby","Reptiles","Squamata","Scincidae","Tiliqua rugosa","Tiliqua rugosa","Tiliqua rugosa","Herbivorous","Male","SVL",546.07682049067,832.917071015199,29.943947915664,20.5047633013445,10,8,0.422174419889964,0.000376440037910572,136.343,-34.662,2.73725374228056,0.602059991327962,1.39795738010389,0.41536533203125,-1.50048692691533,16.4848957061768,2.47027132814968,2.57939484759077,"Conspecific","No island rule"
"Sarre and Dearn 1991","ES452","CC166","Pt. Pearce","Wardang","Reptiles","Squamata","Scincidae","Tiliqua rugosa","Tiliqua rugosa","Tiliqua rugosa","Herbivorous","Male","SVL",610.674363353642,546.854549467764,30.1642232283592,30.2846410859406,14,28,-0.110380999077873,0.000283808260941338,137.367,-34.496,2.7858096883146,1.3059958827708,0.591175950311791,0.338341967773438,-1.518885248842,16.7944450378418,2.5724997748318,2.55750720190566,"Conspecific","No island rule"
"Creer et al. 2002","ES453","CC167","Taiwan","Orchid and Green islands","Reptiles","Squamata","Viperidae","Trimeresurus stejnegeri","Trimeresurus stejnegeri","Trimeresurus stejnegeri","Carnivorous","Both","SVL",98.9575845714228,119.770031356522,9.62336165010421,8.91332694089303,33,33,0.190882179109508,0.000454407039674832,121.55,22.05,1.99544908617538,1.67024585307412,1.95424733490676,0.6460296875,-1.38513636967053,23.7635555267334,2.42286900769809,3.43482431185182,"Conspecific","No island rule"
"Tsai 1998, David et al. 2001 ","ES454","CC168","China and N Vietnam","Hainan","Reptiles","Squamata","Viperidae","Trimeresurus stejnegeri","Trimeresurus stejnegeri stejnegeri","Trimeresurus stejnegeri stejnegeri","Carnivorous","Both","SVL",193.634702380277,206.423058844065,21.9186610822582,19.343082610768,8,2,0.0639543399615101,0.00599207373573354,109.842,19.229,2.28698319234065,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"Conspecific","No island rule"
"Tsai 1998, David et al. 2001 ","ES455","CC168","China and N Vietnam","Taiwan","Reptiles","Squamata","Viperidae","Trimeresurus stejnegeri","Trimeresurus stejnegeri stejnegeri","Trimeresurus stejnegeri stejnegeri","Carnivorous","Both","SVL",193.634702380277,101.772745358171,21.9186610822582,7.93847530073744,8,291,-0.643231065666866,0.00162257322376301,120.66,23.776,2.28698319234065,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"Conspecific","No island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES456","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","Carmen","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana elegans","Carnivorous","Both","SVL",4.63244125430459,4.71883875466191,0.305673446234151,1.12553270268926,56,68,0.018478744884175,0.000914388245795083,-111.16,25.963,0.665809920577418,2.14872601639815,0.780389328470953,0.24191533203125,-1.56418956615219,22.4473934173584,2.7076476898387,2.36404417115839,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES457","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","Partida Sur","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana elegans","Carnivorous","Both","SVL",4.63244125430459,3.38713457526431,0.305673446234151,0.496284575153119,56,38,-0.313099691962882,0.000642705237557402,-110.386,24.56,0.665809920577418,1.1901915805753,0.788945727023748,0.178865441894531,-1.81432735165144,22.25830078125,2.65439301262295,2.392468308454,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES458","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","San Francisco","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana elegans","Carnivorous","Both","SVL",4.63244125430459,3.37945747972276,0.305673446234151,0.92912049465003,56,56,-0.31536881023489,0.00142752845660165,-110.575,24.83,0.665809920577418,0.6673782291317,0.903144270409538,0.219652001953125,-1.76843989929465,22.6638603210449,2.66839626917636,2.34929694788013,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES459","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","San Jose","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana elegans","Carnivorous","Both","SVL",4.63244125430459,4.44072325384516,0.305673446234151,1.089453098598,56,41,-0.0422667397007584,0.00154575042693943,-110.619,24.988,0.665809920577418,2.24231776371519,0.619197715792947,0.25600068359375,-1.66856334263473,22.7151756286621,2.67964403203083,2.3985129025401,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES460","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","San Marcos","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana elegans","Carnivorous","Both","SVL",4.63244125430459,3.25947544791036,0.305673446234151,0.51453848036812,56,35,-0.35151772100615,0.000789738581319557,-112.1,27.217,0.665809920577418,1.47813342810052,0.691169934131604,0.173656762695313,-1.78191515915115,22.68186378479,2.72348593632634,2.19187002396521,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES461","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","Tortuga","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana elegans","Carnivorous","Both","SVL",4.63244125430459,4.36479650218479,0.305673446234151,0.597247209228858,56,51,-0.0595124300314345,0.000444873003209935,-111.867,26.433,0.665809920577418,1.055378331375,1.55991858890664,0.296009448242188,-1.60844597003311,21.9375267028809,2.72015263867945,2.37421661774638,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES462","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","Partida Norte","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana taylori","Carnivorous","Both","SVL",4.63244125430459,4.89774966465154,0.305673446234151,2.26792755841325,56,74,0.0556918496269883,0.00297531816793044,-113.04,28.889,0.665809920577418,0.139879086401236,1.6989786901388,0.0979946105957031,-1.70333045882579,20.3194446563721,2.67685850910016,1.96848294855394,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES463","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","Raza","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana taylori","Carnivorous","Both","SVL",4.63244125430459,4.91573452901994,0.305673446234151,0.298509810411545,56,15,0.0593571909366826,0.000323589339704976,-112.98,28.823,0.665809920577418,-0.275724130399211,1.31388830211387,0.167527746582031,-1.62466472545641,21.5456771850586,2.74447033043518,2.0719566647963,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES464","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","San Esteban","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana taylori","Carnivorous","Both","SVL",4.63244125430459,3.96306229252526,0.305673446234151,1.13459767590999,56,69,-0.156066965276651,0.00126563215920702,-112.632,28.702,0.665809920577418,1.5995883502092,1.5353067815049,0.18531044921875,-1.79974924132476,20.8492431640625,2.74973428743095,2.07188200730613,"Conspecific","Island rule"
"Dunham et al 1978, Parker and Pianka 1975","ES465","CC169","Mexico (Mojave, Puerto Libertad and Estero de Tastiota)","Tiburon","Reptiles","Squamata","Phrynosomatidae","Uta stansburiana","Uta stansburiana stejnegeri","Uta stanshburiana taylori","Carnivorous","Both","SVL",4.63244125430459,3.96214537225542,0.305673446234151,0.724926877571055,56,44,-0.156298358651492,0.000838559010883046,-112.353,28.986,0.665809920577418,3.08206693428511,0.439490590389684,0.180462634277344,-1.56371575713522,21.2911891937256,2.75279985214396,2.1213820009564,"Conspecific","Island rule"
"Case and Schwaner 1993","ES466","CC170","Western Australia","Bernier Island","Reptiles","Squamata","Varanidae","Varanus acanthurus","Varanus acanthurus","Varanus acanthurus","Carnivorous","Both","SVL",81.8553327601108,45.1078826754518,36.4921531183596,11.8654080753206,63,3,-0.595896441139901,0.0262189902717263,113.1667,-24.8667,1.91304697834596,1.60205999132796,1.67210709814554,0.216406225585938,-1.89982014895331,22.2338943481445,2.57850528933572,2.39654803266867,"Conspecific","Island rule"
"Case and Schwaner 1993","ES467","CC171","Western Australia","Bernier Island","Reptiles","Squamata","Varanidae","Varanus gouldii","Varanus gouldii","Varanus gouldii","Carnivorous","Both","SVL",496.500101422523,430.978376651098,221.346088439837,113.366755593417,71,4,-0.141525769098062,0.0200974649379984,113.1667,-24.8667,2.69591934154688,1.60205999132796,1.67210709814554,0.216406225585938,-1.89982014895331,22.2338943481445,2.57850528933572,2.39654803266867,"Conspecific","Island rule"
"Case and Schwaner 1993","ES468","CC171","Western Australia","Wardang","Reptiles","Squamata","Varanidae","Varanus gouldii","Varanus gouldii","Varanus gouldii","Carnivorous","Both","SVL",496.500101422523,1195.77501921598,221.346088439837,314.542774515847,71,4,0.878966118031878,0.0200974649379984,137.367,-34.496,2.69591934154688,1.3059958827708,0.591175950311791,0.338341967773438,-1.518885248842,16.7944450378418,2.5724997748318,2.55750720190566,"Conspecific","Island rule"
"Jessop et al 2006","ES469","CC172","Komodo ","Gili Motang","Reptiles","Squamata","Varanidae","Varanus komodoensis","Varanus komodoensis","Varanus komodoensis","Carnivorous","Unknown","Weight",23470,7890,23587.24,5316.99,226,39,-1.09012687500515,0.0161133871094565,119.787,-8.808,4.37051308959859,1.47712125471966,1.53149169022153,0.673016943359375,-1.57306185445873,26.2883205413818,1.79771267217234,3.2236257166938,"Conspecific","Island rule"
"Jessop et al 2006","ES470","CC172","Komodo ","Nusa Kode","Reptiles","Squamata","Varanidae","Varanus komodoensis","Varanus komodoensis","Varanus komodoensis","Carnivorous","Unknown","Weight",23470,10830,23587.24,6274.85,226,20,-0.773402948850033,0.0212540352880008,119.654,-8.8,4.37051308959859,0.870988813760575,1.30105170984523,0.66269716796875,-1.63183286823419,26.1381912231445,1.80310775489504,3.22955386398114,"Conspecific","Island rule"
"Jessop et al 2006","ES471","CC172","Komodo ","Rinca","Reptiles","Squamata","Varanidae","Varanus komodoensis","Varanus komodoensis","Varanus komodoensis","Carnivorous","Unknown","Weight",23470,20940,23587.24,17764.76,226,228,-0.114061804420541,0.00762577496706878,119.66,-8.735,4.37051308959859,2.30588853028431,-0.521433504406157,0.6195763671875,-1.64431364393721,26.4730834960938,1.80877488501852,3.2093809523462,"Conspecific","Island rule"
"Bennett and Hampton 2003","ES472","CC173","Luzon","Polillo","Reptiles","Squamata","Varanidae","Varanus olivaceus","Varanus olivaceus","Varanus olivaceus","Herbivorous","Unsexed","SVL",2907.28979432722,1185.41558380483,278.793192034918,452.168830935861,99,8,-0.897127888321518,0.0182802602670477,121.926,14.901,3.46348832375681,2.79858159472855,1.2487332298048,0.782803173828125,-1.56519191458528,26.7660732269287,2.1319432076993,3.44533794726414,"Conspecific","No island rule"
"Case and Schwaner 1993","ES473","CC174","South Australia","Kangaroo","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","Carnivorous","Both","SVL",823.949521662999,1288.24776629652,367.327223437515,338.867278679587,10,309,0.446928985386277,0.0200988278103365,137.207,-35.819,2.91590060595109,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"Conspecific","Island rule"
"Case and Schwaner 1993","ES474","CC174","South Australia","Reevesby","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","Carnivorous","Both","SVL",823.949521662999,2653.35133887141,367.327223437515,697.951101571898,10,4,1.16946950823883,0.0371730859230737,136.059,-34.965,2.91590060595109,0.53655844257153,0.672190251188253,0.516161083984375,-2.04506355578887,15.9788255691528,2.39731069537823,2.63002085732701,"Conspecific","Island rule"
"Case and Schwaner 1993","ES475","CC174","South Australia","Spilsby","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","Carnivorous","Both","SVL",823.949521662999,1540.42742132136,367.327223437515,405.201904418775,10,4,0.625705935296121,0.0371730859230737,136.343,-34.662,2.91590060595109,0.602059991327962,1.39795738010389,0.41536533203125,-1.50048692691533,16.4848957061768,2.47027132814968,2.57939484759077,"Conspecific","Island rule"
"Case and Schwaner 1993","ES476","CC174","South Australia","Taylor","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","Carnivorous","Both","SVL",823.949521662999,836.312772148553,367.327223437515,219.987987278008,10,4,0.0148934045647857,0.0371730859230737,136.007,-34.878,2.91590060595109,0.385606273598312,0.431524584187451,0.487654052734375,-1.95394060756851,16.0339450836182,2.4208272436182,2.62847065818793,"Conspecific","Island rule"
"Case and Schwaner 1993","ES477","CC174","South Australia","Thistle Island","Reptiles","Squamata","Varanidae","Varanus rosenbergi","Varanus rosenbergi","Varanus rosenbergi","Carnivorous","Both","SVL",823.949521662999,1069.35890097622,367.327223437515,281.289632465155,10,16,0.260705322007663,0.0241994488161005,136.162,-35,2.91590060595109,1.59383966108127,0.875119165462568,0.468892236328125,-1.89350081911861,15.8306970596313,2.42727869694992,2.62107236480067,"Conspecific","Island rule"
"Luiselli et al. 2015","ES478","CC175","Italy","Montecristo","Reptiles","Squamata","Viperidae","Vipera aspis","Vipera aspis","Vipera aspis","Carnivorous","Both","SVL",122.102967845887,77.4808266742365,14.8463790493886,4.87935069412607,44,29,-0.454834179503738,0.000472750668161154,10.3077,43.332,2.08672622007451,1.01661554755718,1.79796655919936,0.611712158203125,-1.4305949758679,15.4597225189209,2.77601575502821,2.84010609445676,"Conspecific","Island rule"
"Forsman 1991","ES479","CC176","Uppsala, Sweden","Angskar","Reptiles","Squamata","Viperidae","Vipera berus","Vipera berus","Vipera berus","Carnivorous","Both","SVL",120.423669849747,163.105608393814,10.6780552407388,6.44237227907793,10,10,0.303381788274742,0.000942260419397024,19.275,59.536,2.08071185797501,-1.53461714855158,1.35604498868723,0.370390551757812,-1.30924246498372,6.27259731292725,2.81307705891648,2.69425411738461,"Conspecific","Island rule"
"Forsman 1991","ES480","CC176","Uppsala, Sweden","In-Fredeln","Reptiles","Squamata","Viperidae","Vipera berus","Vipera berus","Vipera berus","Carnivorous","Both","SVL",120.423669849747,185.03298660459,10.6780552407388,11.9001572876563,10,10,0.429518008165263,0.00119987520425287,19.364,59.516,2.08071185797501,-1.30102999566398,1.43137984884194,0.321405737304688,-1.38781082945224,6.28905153274536,2.81369555310222,2.6760073395607,"Conspecific","Island rule"
"Forsman 1991","ES481","CC176","Uppsala, Sweden","Inre Hamnskar","Reptiles","Squamata","Viperidae","Vipera berus","Vipera berus","Vipera berus","Carnivorous","Both","SVL",120.423669849747,136.995626568589,10.6780552407388,20.6406271934498,10,10,0.128932895472368,0.00305628397363812,19.316,59.732,2.08071185797501,-1.60205999132796,1.1271372071915,0.0347831329345703,-3,6.22485399246216,2.81383950980747,2.71949702672399,"Conspecific","Island rule"
