"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Pigot et al. 2020","Borneo","Timor","Birds","Passeriformes","Cettidae","Urosphena whiteheadi","Urosphena whiteheadi","Urosphena subulata","Invertebrate","Male","Wing Length",51,52.5,0,1.414,2,2,51,NA,0,NA,2,NA,52.5,NA,1.414213562,NA,2,NA,124.451,-9.649,28418.1,450,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Mexico","Jamaica","Birds","Passeriformes","Vireonidae","Vireo pallens","Vireo pallens","Vireo modestus","Invertebrate","Male","Tarsus Length",19.667,18.4,0.929,0,3,2,19.66666667,NA,0.929157324,NA,3,NA,18.4,NA,0,NA,2,NA,-77.285,18.1217,10992,630,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Mexico","Jamaica","Birds","Passeriformes","Vireonidae","Vireo pallens","Vireo pallens","Vireo modestus","Invertebrate","Male","Wing Length",55.667,57.75,2.309,3.182,3,2,55.66666667,NA,2.309401077,NA,3,NA,57.75,NA,3.181980515,NA,2,NA,-77.285,18.1217,10992,630,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Mexico","Hispaniola","Birds","Passeriformes","Vireonidae","Vireo pallens","Vireo pallens","Vireo nanus","Invertebrate","Male","Tarsus Length",19.667,19.3,0.929,0.954,3,3,19.66666667,NA,0.929157324,NA,3,NA,19.3,NA,0.953939201,NA,3,NA,-71.514,18.942,73929,620,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Mexico","Hispaniola","Birds","Passeriformes","Vireonidae","Vireo pallens","Vireo pallens","Vireo nanus","Invertebrate","Male","Wing Length",55.667,53.667,2.309,2.887,3,3,55.66666667,NA,2.309401077,NA,3,NA,53.66666667,NA,2.886751346,NA,3,NA,-71.514,18.942,73929,620,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Australia","New Guinea","Birds","Passeriformes","Meliphagidae","Xanthotis macleayanus","Xanthotis macleayanus","Xanthotis polygrammus","Invertebrate","Male","Tarsus Length",25.05,19.5,1.202,1.609,2,3,25.05,NA,1.202081528,NA,2,NA,19.5,NA,1.609347694,NA,3,NA,141.814,-5.752,785753,153,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Australia","New Guinea","Birds","Passeriformes","Meliphagidae","Xanthotis macleayanus","Xanthotis macleayanus","Xanthotis polygrammus","Invertebrate","Male","Wing Length",89,71.667,1.414,3.786,2,3,89,NA,1.414213562,NA,2,NA,71.66666667,NA,3.785938897,NA,3,NA,141.814,-5.752,785753,153,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Myanmar","Borneo","Birds","Passeriformes","Timaliidae","Yuhina castaniceps","Yuhina castaniceps","Yuhina everetti","Invertebrate","Both","Tarsus Length",16.405,16.3,0.418,0.667,4,4,16.41,16.4,0.579827561,0.113137085,2,2,16.05,16.55,0.212132034,0.919238816,2,2,114,1,743244,520,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Myanmar","Borneo","Birds","Passeriformes","Timaliidae","Yuhina castaniceps","Yuhina castaniceps","Yuhina everetti","Invertebrate","Both","Wing Length",59,60.375,3.536,0.559,4,4,56.5,61.5,3.535533906,3.535533906,2,2,61.25,59.5,0.353553391,0.707106781,2,2,114,1,743244,520,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Mainland Asia (China and Laos)","Taiwan","Birds","Passeriformes","Timaliidae","Yuhina nigrimenta","Yuhina nigrimenta","Yuhina brunneiceps","Omnivore","Both","Tarsus Length",15.325,16.95,0.128,0.071,4,4,15.12,15.53,0.141421356,0.113137085,2,2,17,16.9,0,0,2,2,120.66,23.776,34507,142.7,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","China","Taiwan","Birds","Passeriformes","Timaliidae","Yuhina nigrimenta","Yuhina nigrimenta","Yuhina brunneiceps","Omnivore","Both","Wing Length",56.75,63,3.5,1.275,4,4,57,56.5,0,4.949747468,2,2,63.25,62.75,0.353553391,1.767766953,2,2,120.66,23.776,34507,142.7,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Ecuador","Santa Cruz (Galapagos)","Birds","Columbiformes","Columbidae","Zenaida auriculata","Zenaida auriculata","Zenaida galapagoensis","PlantSeed","Both","Tarsus Length",21.68,22.953,0.581,1.088,4,4,22.75,20.61,0.367695526,0.735391052,2,2,24.365,21.54,1.223294731,0.933380951,2,2,-90.3683,-0.623,986,1040,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Ecuador","Santa Cruz (Galapagos)","Birds","Columbiformes","Columbidae","Zenaida auriculata","Zenaida auriculata","Zenaida galapagoensis","PlantSeed","Both","Wing Length",148.75,123.25,4.717,5.408,4,4,153.5,144,3.535533906,5.656854249,2,2,129.5,117,6.363961031,4.242640687,2,2,-90.3683,-0.623,986,1040,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Costa Rica","Socorro","Birds","Columbiformes","Columbidae","Zenaida macroura","Zenaida macroura","Zenaida graysoni","PlantSeed","Both","Tarsus Length",20.928,30.9,0.981,3.394,5,2,20.85666667,21,1.201929005,0,3,2,33.3,28.5,0,0,1,1,-110.974,18.793,132,575,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Costa Rica and Panama","Socorro","Birds","Columbiformes","Columbidae","Zenaida macroura","Zenaida macroura","Zenaida graysoni","PlantSeed","Both","Wing Length",140.817,147,11.796,1.414,5,2,146.1333333,135.5,14.22860968,3.535533906,3,2,146,148,0,0,1,1,-110.974,18.793,132,575,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Australia","Java","Birds","Passeriformes","Turdidae","Zoothera heinei","Zoothera heinei","Zoothera andromedae","Invertebrate","Male","Tarsus Length",29,31.633,0.424,1.93,2,3,29,NA,0.424264069,NA,2,NA,31.63333333,NA,1.929594085,NA,3,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Australia","Lombok","Birds","Passeriformes","Turdidae","Zoothera heinei","Zoothera heinei","Zoothera andromedae","Invertebrate","Female","Tarsus Length",28.25,31.08,0.636,2.942,2,2,NA,28.25,NA,0.636396103,NA,2,NA,31.08,NA,2.94156421,NA,2,116.417,-8.375,4725,133,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Australia","Java","Birds","Passeriformes","Turdidae","Zoothera heinei","Zoothera heinei","Zoothera andromedae","Invertebrate","Male","Wing Length",126.5,121,0.707,2.828,2,3,126.5,NA,0.707106781,NA,2,NA,121,NA,2.828427125,NA,3,NA,107.5667,-6.95,138793.6,340,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Australia","Lombok","Birds","Passeriformes","Turdidae","Zoothera heinei","Zoothera heinei","Zoothera andromedae","Invertebrate","Female","Wing Length",126,120.5,1.414,2.121,2,2,NA,126,NA,1.414213562,NA,2,NA,120.5,NA,2.121320344,NA,2,116.417,-8.375,4725,133,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Thailand","Damar","Birds","Passeriformes","Turdidae","Zoothera interpres","Zoothera interpres","Zoothera peronii","Invertebrate","Male","Tarsus Length",28.425,32.975,1.11,1.28,2,2,28.425,NA,1.110157646,NA,2,NA,32.975,NA,1.279863274,NA,2,NA,128.62,-7.12,197.7,192,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Malaysia","Timor","Birds","Passeriformes","Turdidae","Zoothera interpres","Zoothera interpres","Zoothera peronii","Invertebrate","Female","Tarsus Length",27.055,32.925,3.048,0.929,2,4,NA,27.055,NA,3.047630227,NA,2,NA,32.925,NA,0.928708781,NA,4,124.451,-9.649,28418.1,450,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Thailand","Damar","Birds","Passeriformes","Turdidae","Zoothera interpres","Zoothera interpres","Zoothera peronii","Invertebrate","Male","Wing Length",104.5,100.5,3.536,9.192,2,2,104.5,NA,3.535533906,NA,2,NA,100.5,NA,9.192388155,NA,2,NA,128.62,-7.12,197.7,192,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Malaysia","Timor","Birds","Passeriformes","Turdidae","Zoothera interpres","Zoothera interpres","Zoothera peronii","Invertebrate","Female","Wing Length",101.5,106,0.707,1.414,2,4,NA,101.5,NA,0.707106781,NA,2,NA,106,NA,1.414213562,NA,4,124.451,-9.649,28418.1,450,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Vietnam","Mindanao","Birds","Passeriformes","Zosteropidae","Zosterops japonicus","Zosterops japonicus","Zosterops montanus","FruiNect","Both","Tarsus Length",15.408,17.163,0.278,1.295,4,6,15.295,15.52,0.38890873,0.056568542,2,2,17.05,17.275,0.212132034,1.490805152,2,4,125.081,7.736,97530,345,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Pigot et al. 2020","Vietnam","Mindanao","Birds","Passeriformes","Zosteropidae","Zosterops japonicus","Zosterops japonicus","Zosterops montanus","FruiNect","Both","Wing Length",53.5,55.863,1.581,2.701,4,6,54.5,52.5,0.707106781,2.121320344,2,2,57.7,54.025,2.545584412,2.751211854,2,4,125.081,7.736,97530,345,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","Yes"
"Hervias-Parejo et al. 2019, Watkins 1996","Ecuador","San Cristobal","Reptiles","Squamata","Tropiduridae","Microlophus occipitalis","Microlophus occipitalis","Microlophus bivittatus","","Both","SVL",59.05,62.855,12.189,7.033,1055,35,63,55.1,15.7,7.5,512,543,68.61,57.1,8.17,5.1,20,15,-89.4203,-0.8166,558,932.7,"LOG10(Weight, g)= LOG10(SVL, mm)*2.719-3.884, Feldman et al 2015; Tropiduridae S. stricto, (Scharf et al. 2014)","Phylogeny: Kizirian, D., Trager, A., Donnelly, M. A., & Wright, J. W. (2004). Evolution of Galapagos Island lava lizards (Iguania: Tropiduridae: Microlophus). Molecular phylogenetics and evolution, 32(3), 761-769.","No island rule","No"
"Hervias-Parejo et al. 2019, Watkins 1996","Ecuador","Marchena","Reptiles","Squamata","Tropiduridae","Microlophus occipitalis","Microlophus occipitalis","Microlophus habelii","","Both","SVL",59.05,83.02,12.189,7.511,1055,30,63,55.1,15.7,7.5,512,543,90.87,75.17,9.7,4.33,15,15,-90.4725,0.3123,130,1072,"LOG10(Weight, g)= LOG10(SVL, mm)*2.719-3.884, Feldman et al 2015; Tropiduridae S. stricto, (Scharf et al. 2014)","Phylogeny: Kizirian, D., Trager, A., Donnelly, M. A., & Wright, J. W. (2004). Evolution of Galapagos Island lava lizards (Iguania: Tropiduridae: Microlophus). Molecular phylogenetics and evolution, 32(3), 761-769.","No island rule","No"
"Klutsch et al 2007","Honduras","Utila","Reptiles","Squamata","Dactyloidae","Anolis lemurinus","Norops lemorinus","Norops bicaorum","","Both","SVL",55.97,61.7,4.288,6.335,38,33,53.14,58.8,2.44,5.99,22,16,63.3,60.1,7.44,3.55,21,12,-86.937,16.0959,45,33.8,"LOG10(Weight, g)= LOG10(SVL, mm)*2.942-4.574, Feldman et al 2015","Phylogeny: Köhler, G. (1996) Additions to the known herpetofauna of Isla de Utila (Islas de Bahia, Honduras) with the description of a new species of the genus Norops (Reptilia: Sauria: Iguanidae). Senckenbergiana Biologica, 76, 19–28","Island rule","Yes"
"Song et al. 2012","China","Hainan","Mammals","Rodentia","Sciuridae","Petaurista philippensis","Petaurista philippensis","Petaurista hainana","","Unsexed","Length",459.53,413.63,33.17,27.29,19,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.842,19.229,32900,17,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Phylogeny: Li, S., He, K., Yu, F. H., & Yang, Q. S. (2013). Molecular phylogeny and biogeography of Petaurista inferred from the cytochrome b gene, with implications for the taxonomic status of P. caniceps, P. marica and P. sybilla. PloS one, 8(7), e70461.","No island rule","Yes"
"Nowak 1999, Hadi et al 2009","Borneo","Siberut","Mammals","Primata","Cercopithecidae","Nasalis larvatus","Nasalis larvatus","Simias concolor","","Both","Length",641,490,63.6,27.08,4,8,711,571,72.12489168,53.74011537,2,2,520,460,14.14213562,28.98275349,2,6,98.9355,-1.397,4030,143.5,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Phylogeny: Liedigk, R., Yang, M., Jablonski, N. G., Momberg, F., Geissmann, T., Lwin, N., ... & Yongcheng, L. (2012). Evolutionary history of the odd-nosed monkeys and the phylogenetic position of the newly described Myanmar snub-nosed monkey Rhinopithecus strykeri. PLoS One, 7(5), e37418.","No island rule","No"
"Schultz 1938, Hadi et al 2009","Borneo","Siberut","Mammals","Primata","Cercopithecidae","Nasalis larvatus","Nasalis larvatus","Simias concolor","","Male","Weight",20473.75,7750,2885.401,141.421,8,2,20473.75,NA,2885.401371,NA,8,NA,7750,6291.666667,141.4213562,759.8793764,2,6,98.9355,-1.397,4030,143.5,"Weight","Phylogeny: Liedigk, R., Yang, M., Jablonski, N. G., Momberg, F., Geissmann, T., Lwin, N., ... & Yongcheng, L. (2012). Evolutionary history of the odd-nosed monkeys and the phylogenetic position of the newly described Myanmar snub-nosed monkey Rhinopithecus strykeri. PLoS One, 7(5), e37418.","No island rule","No"
"Matsui et al. 2007","Guangzhou, China","Ishigakijima","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya sakishimensis","","Both","SVL",41.1,56.15,2.423,4.28,5,38,36.8,45.4,1.6,3.535533906,3,2,51.7,60.6,3,5.6,22,16,124.197,24.414,222.54,467,"10^-4.4312×SVL^3.2088(Thamnachoti 2012, Morphometric and Gravimetric Parameters of the Rice Frog Fejervarya limnocharis Living in Areas with Different Agricultural Activity)","Phylogeny: Matsui, M., Toda, M. & Ota, H. A new species of frog allied to Fejervarya limnocharis from the Southern Ryukyus, Japan (Amphibia: Ranidae). Current Herpetology 26, 65-79","No island rule","Yes"
"Siler et al. 2009","Luzon","Visayas","Amphibians","Anura","Dicroglossidae","Limnonectes woodworthi","Limnonectes woodworthi","Limnonectes visayanus","","Both","SVL",61.7,81.95,3.531,6.017,13,20,59.7,63.7,3.2,3.6,3,10,80,83.9,7.4,4.2,10,10,123.373,10.816,13428,580,"10^-4.324×SVL^3.189; Santini et al. 2017","Phylogeny: McLeod, D. S. (2010). Of least concern? Systematics of a cryptic species complex: Limnonectes kuhlii (Amphibia: Anura: Dicroglossidae). Molecular Phylogenetics and Evolution, 56(3), 991-1000.","No island rule","Yes"
"Melo et al. 2010, Cox et al. 2011","Africa (Nigeria)","Principe","Birds","Passeriformes","Turdidae","Turdus pelios","Turdus pielos","Turdus olivaceofuscus","Invertebrate","Both","Weight",65.28,82.5,0.852,0.707,516,2,NA,NA,NA,NA,NA,NA,83,82,0,0,1,1,7.4,1.626,136,215.6,"Weight","Phylogeny: Melo, M., Bowie, R., Voelker, G., Dallimer, M., Collar, N., Jones, P., 2010. Multiple lines of evidence support the recognition of a very rare bird species: the Príncipe thrush. Journal of Zoology 282, 120-129.","No island rule","Yes"
"Melo et al. 2010, Cox et al. 2011","Africa (Nigeria)","Sao Tome","Birds","Passeriformes","Turdidae","Turdus pelios","Turdus pielos","Turdus olivaceofuscus","Invertebrate","Both","Weight",65.28,86.2,0.852,6.95,516,24,NA,NA,NA,NA,NA,NA,82.1,90.3,7.9,5.6,13,11,6.616,0.234,854,238,"Weight","Phylogeny: Melo, M., Bowie, R., Voelker, G., Dallimer, M., Collar, N., Jones, P., 2010. Multiple lines of evidence support the recognition of a very rare bird species: the Príncipe thrush. Journal of Zoology 282, 120-129.","No island rule","Yes"
"Nguyen et al. 2018","Vietnam","Hon Khoai","Mammals","Rodentia","Sciuridae","Callosciurus caniceps","Callosciurus caniceps","Callosciurus honkhoaiensis","","Both","Weight",314.65,152.5,38.158,3.544,25,3,316.4,312.9,NA,NA,10,15,153,152,NA,NA,2,1,104.8307,8.4302,4,12.3,"Weight","Phylogeny: Nguyen, S. T., Oshida, T., Dang, P. H., Bui, H. T., & Motokawa, M. (2018). A new species of squirrel (Sciuridae: Callosciurus) from an isolated island off the Indochina Peninsula in southern Vietnam. Journal of Mammalogy, 99(4), 813-825.","No island rule","Yes"
"Ota et al 1995","China","Hainan","Reptiles","Squamata","Gekkonidae","Gekko chinensis","Gekko chinensis","Gekko similignum","","Both","SVL",64.9,55.65,2.249,4.596,23,2,63.2,66.6,2.739726027,1.958525346,8,15,52.4,58.9,NA,NA,1,1,109.842,19.229,32900,17,"LOG10(Weight, g)= LOG10(SVL, mm)*2.761-4.242, Feldman et al 2015","Phylogeny: Ota, H., Lau, M. W., Weidenhofer, T., Yasukawa, Y. & Bogadek, A. TAXONOMIC REVIEW OF THE GECKOS ALLIED TO GEKKO-CHINENSIS GRAY 1842 (GEKKONIDAE REPTILIA) FROM CHINA AND VIETNAM. Tropical Zoology 8, 181-196, doi:10.1080/03946975.1995.10539278 (1995).","No island rule","No"
"Lymberakis et al. 2008","Greece (Peloponnesos)","Pori","Reptiles","Squamata","Lacertidae","Podarcis peloponnesiacus","Podarcis peloponnesiacus","Podarcis erhardii","","Both","SVL",71.05,72.75,6.39,3.927,23,18,70.6,71.5,6.062177826,6.732748324,12,11,74,71.5,2.800142853,4.616925384,8,10,23.246,35.974,0.29,51.4,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Phylogeny: Poulakakis, N. P. A. D. E. M. E., Lymberakis, P., Antoniou, A., Chalkia, D., Zouros, E., Mylonas, M., & Valakos, E. (2003). Molecular phylogeny and biogeography of the wall-lizard Podarcis erhardii (Squamata: Lacertidae). Molecular Phylogenetics and Evolution, 28(1), 38-46.","No island rule","No"
"Lymberakis et al. 2008","Greece (Peloponnesos)","Crete","Reptiles","Squamata","Lacertidae","Podarcis peloponnesiacus","Podarcis peloponnesiacus","Podarcis erhardii (cretensis)","","Both","SVL",71.05,57.45,6.39,4.484,23,109,70.6,71.5,6.062177826,6.732748324,12,11,59.4,55.5,4.76235236,4.06939799,63,46,24.809,35.24,8336,95,"LOG10(Weight, g)= LOG10(SVL, mm)*2.951-4.543, Feldman et al 2015","Phylogeny: Poulakakis, N. P. A. D. E. M. E., Lymberakis, P., Antoniou, A., Chalkia, D., Zouros, E., Mylonas, M., & Valakos, E. (2003). Molecular phylogeny and biogeography of the wall-lizard Podarcis erhardii (Squamata: Lacertidae). Molecular Phylogenetics and Evolution, 28(1), 38-46.","No island rule","No"
"Protzel et al. 2015","Madagascar","Nosy Be","Reptiles","Squamata","Chamaeleonidae","Calumma linotum","Calumma linotum","Calumma boettgeri","Carnivorous","Both","SVL",52.158,48.967,3.46,3.681,11,27,55.05,49.26666667,2.251348802,6.011932579,8,3,49.16923077,48.76428571,3.991947022,3.367630334,13,14,48.26,-13.326,320.02,12.02,"LOG10(Weight,g)= LOG10(SVL,mm)*2.680 - 3.997, Feldman et al. 2015","Phylogeny: Proetzel, D., Ruthensteiner, B., Scherz, M. D. & Glaw, F. Systematic revision of the Malagasy chameleons Calumma boettgeri and C. linotum (Squamata: Chamaeleonidae). Zootaxa 4048, 211-231 (2015).","No island rule","Yes"
"Hawlitschek et al 2012, Ziegler et al 1996","Madagascar","Mayotte","Reptiles","Squamata","Lamprophiidae","Liophidium torquatum","Liophidium torquatum","Liophidium mayottensis","Carnivorous","Both","SVL",327.5,594.25,10.607,113.733,2,8,NA,NA,NA,NA,NA,NA,620.5,568,43.867,154.745,4,4,45.152,-12.801,375,300,"LOG10(Weight, g)= LOG10(SVL, mm)*3.232-7.092, Feldman et al 2015","Phylogeny: Pyron, R. A., Burbrink, F. T., & Wiens, J. J. (2013). A phylogeny and revised classification of Squamata, including 4161 species of lizards and snakes. BMC evolutionary biology, 13(1), 1-54.","Island rule","No"
"Rader et al. 2014","Chile, Argentina","Kidney","Birds","Passeriformes","Furnariidae","Cinclodes fuscus","Cinclodes fuscus","Cinclodes antarcticus","","Both","Wing Length",96.111,111.055,2.942,2.501,47,5,98.10518519,94.1165,3.0662673,2.763350893,27,20,114.4,107.71,1.117228714,2.959526989,2,3,-57.7507,-51.6235,0.33,757.3,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Phylogeny: Rader, J. A., Dillon, M. E., Chesser, R. T., Sabat, P. & del Rio, C. M. Morphological divergence in a continental adaptive radiation: South American ovenbirds of the genus Cinclodes. Auk 132, 180-190, doi:10.1642/auk-14-49.1 (2015).","Island rule","Yes"
"Rader et al. 2014","Chile, Argentina","Isla de los Estados","Birds","Passeriformes","Furnariidae","Cinclodes fuscus","Cinclodes fuscus","Cinclodes antarcticus","","Male","Weight",30.075,63.225,1.461,4.329,4,4,30.075,27.86666667,1.461449053,2.154839515,4,3,63.225,NA,4.329260907,NA,4,NA,-64.4299,-54.7928,534,29.6,"Weight","Phylogeny: Rader, J. A., Dillon, M. E., Chesser, R. T., Sabat, P. & del Rio, C. M. Morphological divergence in a continental adaptive radiation: South American ovenbirds of the genus Cinclodes. Auk 132, 180-190, doi:10.1642/auk-14-49.1 (2015).","Island rule","Yes"
"Shekelle 2013, Gursky 1998","Sulawesi","Sangihe","Mammals","Primata","Tarsiidae","Tarsius tarsier","Tarsius spectrum","Tarsius sangirensis","","Both","Weight",116.1,139,5.884,21.213,13,3,125.2,107,4.604345773,6.502746672,5,8,135,143,21.21320344,0,2,1,125.5814,3.5188,551.8,191.44,"Weight","Phylogeny: Shekelle, M. 2003. Taxonomy and Biogeography of
Eastern Tarsiers. PhD dissertation, Washington University,
St. Louis, USA.","No island rule","No"
